BNP	SG
42.36	55.24
42.72	55.59
43.20	56.45
42.67	55.55
41.81	54.50
41.62	54.49
43.27	56.12
42.095	54.88
41.975	54.61
43.455	56.27
43.675	56.65
43.78	56.55
42.36	55.07
42.99	55.49
40.635	52.85
43.54	55.58
45.475	57.82
46.795	58.94
47.215	59.34
47.30	59.12
46.70	58.15
46.985	58.69
46.23	57.93
47.91	59.64
48.33	60.45
47.875	60.25
48.095	60.68
48.17	60.45
44.645	59.76
45.00	59.55
44.80	59.31
44.58	57.66
44.12	56.23
44.475	56.76
43.885	55.71
45.265	57.21
45.65	57.09
45.33	56.85
45.125	57.05
45.315	57.45
44.845	57.31
44.875	57.55
44.195	56.29
43.78	56.36
43.555	55.77
42.45	54.49
40.955	52.38
39.50	50.93
39.275	50.50
40.395	51.97
41.98	54.27
42.315	54.71
42.97	55.37
41.87	54.15
42.09	54.81
44.455	57.63
44.135	57.03
44.03	56.86
44.335	57.36
43.75	56.32
42.405	53.61
42.055	53.08
41.645	53.14
41.925	53.67
41.91	53.96
42.895	55.30
43.425	56.02
42.985	55.56
42.195	54.39
42.015	54.63
42.30	55.30
43.02	56.34
43.31	56.77
42.755	55.53
42.205	54.85
42.525	54.93
43.545	56.15
44.195	56.47
43.29	55.57
43.335	56.23
43.5442	57.01
43.7631	56.47
43.8167	56.85
43.4469	55.91
42.8387	55.1699
43.4469	55.2575
43.7194	55.4133
42.9458	54.5271
42.6247	54.644
42.9555	55.3744
42.8874	55.91
42.1333	54.8777
42.5712	54.5661
43.5588	53.6019
44.1037	55.2672
43.5004	54.9653
43.5004	54.9653
43.9918	55.8516
44.9697	57.0786
45.4952	57.624
44.60	57.4487
43.8896	56.4943
44.5173	56.4943
44.021	54.1376
44.6924	54.605
43.6221	53.6701
44.3713	54.8582
44.8043	55.6471
44.4978	55.3159
45.3687	56.1145
44.9405	55.7542
45.3103	56.4164
45.2373	56.1632
45.1935	55.686
44.6827	55.7444
44.6827	55.7444
44.6827	55.7444
44.4248	55.5399
43.7583	55.0919
44.4005	55.7639
43.4518	54.7219
43.0966	53.6798
43.6269	53.4169
43.6221	54.3421
42.5566	53.115
41.9922	52.5696
41.4229	51.5763
40.878	50.8848
41.3013	50.914
41.637	51.0699
41.1505	50.3297
41.0435	50.2518
41.0143	50.6511
39.8466	49.7064
40.4548	50.6024
40.6786	50.7193
40.2261	50.7777
39.9001	50.5634
39.4574	49.5798
40.3672	51.1672
40.2018	50.729
39.8661	50.2615
39.1119	49.6675
39.7104	50.6219
39.3601	50.4076
39.3649	49.9499
39.0973	50.0862
38.966	49.5798
37.4626	48.2261
37.5794	47.8902
37.3653	47.1451
35.9106	46.0155
35.3316	44.8614
35.5652	44.9637
35.4533	44.506
36.2171	45.9375
35.8279	45.7769
36.1587	47.5298
36.6404	47.1403
35.03	45.9619
34.8694	45.5529
35.283	46.405
35.2246	46.2589
36.222	47.5688
37.0734	48.0411
36.7912	47.7197
37.0491	48.1093
35.7208	47.0088
35.3705	46.4927
33.9256	45.3971
33.1909	44.7884
33.0693	44.8809
32.5827	43.7609
32.9525	45.1341
32.5438	44.1115
32.50	43.7609
32.8698	45.2802
31.9405	43.8583
32.286	44.6033
32.8698	45.8012
34.4072	48.1385
34.0472	47.9729
34.0472	47.9729
33.8769	47.5542
34.3099	48.791
34.4997	48.2894
34.4997	48.2894
34.4997	48.2894
34.5191	48.3041
33.8672	47.4324
33.5315	47.1792
34.271	47.9535
32.972	46.2394
33.2639	46.4975
33.439	45.2364
34.3975	46.9358
35.5311	48.158
35.7987	48.1628
36.2268	48.6741
37.6037	50.3979
38.2216	50.5634
36.9907	48.5621
38.061	49.7259
37.954	49.6967
38.1389	49.3656
38.8152	50.2128
38.6108	49.9402
38.2459	49.3558
38.4308	49.7843
37.7545	48.8884
36.981	48.3722
35.463	46.5706
35.9933	47.3691
35.9836	47.1013
35.4289	46.5998
34.9278	46.3076
34.5726	45.8158
34.2272	45.6795
35.3414	46.814
35.1419	46.9017
35.2051	47.3984
36.0711	48.3235
36.981	48.3674
36.6404	47.4617
37.4675	48.0752
37.3799	48.8299
36.1684	47.1987
36.2804	47.2036
37.3945	48.231
36.7474	47.6077
37.7886	48.2115
37.5648	47.9194
36.7426	47.2084
36.4944	47.0283
35.1954	45.8353
35.2197	45.772
33.4585	44.2625
34.198	45.2412
36.0614	47.4227
36.0176	47.2474
35.7987	47.2474
36.6404	47.5737
37.4577	48.119
37.8713	48.791
38.8979	49.8233
38.4843	49.609
37.5696	49.2098
39.5693	50.9822
39.3309	51.1478
38.9222	50.7193
39.579	51.4497
39.3941	51.2841
39.8271	51.8587
39.1071	51.3328
39.7542	52.2482
40.2747	52.5891
40.4207	52.8813
39.8612	52.4138
39.7006	51.9756
40.1823	52.1411
40.5326	52.5599
40.4548	52.3067
40.1872	52.443
39.9439	51.9366
40.3769	52.5891
40.2942	52.6573
39.8953	52.8813
38.3043	51.401
37.341	50.32
37.2826	50.0376
37.5161	50.0376
37.5064	50.1252
38.3092	50.4076
38.2557	49.9596
37.6086	48.9176
36.5285	47.7879
36.4993	48.0995
35.5408	47.301
35.6771	47.5347
35.2781	47.3935
34.8208	47.0624
34.9473	47.2912
35.1857	47.4617
34.6164	46.6485
34.7137	46.7702
34.631	46.7166
34.4559	46.9114
34.8159	47.6467
35.4727	48.1775
35.9592	48.8786
35.8473	48.4599
36.5431	48.2067
37.4967	48.5767
38.0075	48.7326
37.4967	48.3479
37.6037	48.2846
38.0464	48.4988
37.0004	47.7246
36.8301	47.4811
36.4847	47.3789
36.9858	47.6467
36.7134	47.3399
37.0101	47.8999
35.9301	46.965
36.2998	47.5006
35.8279	47.0965
35.7062	46.444
36.4896	47.1013
